姓名	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
张无忌1	6	15	18	12	11	12	6	8	27	2	16	6
张无忌2	13	26	21	28	29	19	29	23	30	25	24	28
张无忌3	25	27	9	14	19	5	27	8	18	23	11	26
张无忌4	17	18	19	20	30	24	17	8	2	8	6	16
张无忌5	4	7	24	9	9	13	30	16	10	22	10	6
张无忌6	26	23	2	4	8	8	2	17	9	10	11	2
张无忌7	25	1	24	6	27	18	27	7	22	19	7	26
张无忌8	10	11	6	28	25	8	2	20	14	1	22	8
张无忌9	14	3	16	26	30	18	5	16	1	20	12	15
张无忌10	8	24	4	26	1	2	15	28	26	26	19	8
张无忌11	27	7	10	14	30	4	12	19	15	10	22	10
张无忌12	28	9	21	17	19	1	28	12	22	11	16	4
张无忌13	23	18	28	28	8	10	16	21	29	23	4	2
张无忌14	23	17	5	26	23	17	17	2	15	25	4	20
张无忌15	3	4	3	30	8	4	6	1	19	19	30	3
张无忌16	16	29	18	30	22	27	25	1	16	23	23	29
张无忌17	30	7	8	17	5	18	1	25	20	18	14	23
